input_gain,input_phase,output_gain,output_phase
13,15,-2.9,-20
13,16,-1.7,-5
13,17,-1.6,3
13,18,-1.5,17
13,19,-1.8,27
13,20,-1.3,42
13,21,-1.2,53
13,22,-1.3,67
13,23,-1.6,80
13,24,-0.9,91
13,25,-1,103
13,26,-1.4,119
13,27,-2,129
13,28,-1.6,145
13,29,-1.9,155
13,30,-2.3,170
13,31,-2.9,179
